web-scraper-order,web-scraper-start-url,page,annonce-link,annonce-link-href,title,subtitle,price,date,body-type,kilometers,fuel-type,transmission,power,drivetrain,consumption,expertise,expertise-date,accident,warranty,warranty-details,location,listing-id,created-date,new-price,description-text
"1698788681-11","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2005-occasion-10935136","AUDI A3 2.0 Turbo FSI Ambition quattro","","CHF 1'400.–","05.2005","Limousine","200'000 km","Essence","Boîte manuelle","200 PS (147 kW)","4 roues motrices","9 l/100 km","Non","","Non","Non","","Gwattstrasse 142, 3645 Gwatt bei Thun","Listing ID: 10935136","2023-10-11","Non",""
"1698788876-12","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2006-occasion-10380768","AUDI A3 2.0 FSI Ambiente","","CHF 1'500.–","07.2006","Limousine","203'000 km","Essence","Boîte manuelle","150 PS (110 kW)","Traction avant","7.6 l/100 km","Non","28.03.2019","Non","Non","","Via al Mulino 21, 6814 Cadempino","Listing ID: 10380768","2023-03-25","Non","Ab platz"
"1698788899-13","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2004-occasion-10603314","AUDI A3 Sportback 2.0 Turbo FSI Ambition quattro","","CHF 1'500.–","10.2004","Limousine","248'905 km","Essence","Boîte manuelle","200 PS (147 kW)","4 roues motrices","9 l/100 km","Non","","Non","Non","","Bielstrasse 49, 3900 Gamsen","Listing ID: 10603314","2023-06-12","Non",""
"1698788922-14","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-1999-occasion-10819172","AUDI A3 1.8 T Ambiente","Automat, Leder,AC","CHF 1'500.–","07.1999","Limousine","185'000 km","Essence","Automatique","150 PS (110 kW)","Traction avant","9.1 l/100 km","Non","16.07.2021","Non","Non","","Dorfstrasse 30, 5624 Bünzen","Listing ID: 10819172","2023-09-01","Non","Das Auto ist in einem gutem Zustand. Service gepflegt."
"1698789068-15","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2005-occasion-10933470","AUDI A3 2.0 Turbo FSI Ambition quattro","Fix preis - Motor Problem - Problème moteur","CHF 1'500.–","10.2005","Limousine","200'000 km","Essence","Boîte manuelle","200 PS (147 kW)","4 roues motrices","9 l/100 km","Non","11.10.2020","Non","Non","","Pfeidstrasse 31, 2555 Brügg","Listing ID: 10933470","2023-10-11","Non","Fix preis - Motor Problem - Problème moteur"
"1698789092-16","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2006-occasion-10846761","AUDI A3 2.0 Turbo FSI Ambiente","","CHF 1'600.–","02.2006","Limousine","273'000 km","Essence","Boîte manuelle","200 PS (147 kW)","Traction avant","7.9 l/100 km","Non","","Non","Non","","Westring 9, 5502 Hunzenschwil","Listing ID: 10846761","2023-09-11","Non","Motor defeckt"
"1698789116-17","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2005-occasion-10832673","AUDI A3 Sportback 2.0 FSI Ambiente","","CHF 1'600.–","10.2005","Limousine","230'000 km","Essence","Boîte manuelle","150 PS (110 kW)","Traction avant","7.6 l/100 km","Non","07.01.2020","Non","Non","","Chemin du Vuasset 3, 1028 Préverenges","Listing ID: 10832673","2023-09-06","Non","Crémaillère a changer"
"1698789141-18","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2006-occasion-10947901","AUDI A3 Sportback 2.0 Turbo FSI Ambition S-tronic","Motor schaden-Automatik Getreibe-Klimaanlage-MFK 24.02.2021","CHF 1'690.–","06.2006","Limousine","243'000 km","Essence","Boîte manuelle automatisée","200 PS (147 kW)","Traction avant","7.9 l/100 km","Non","24.02.2021","Non","Non","","Oltenstrasse 26, 4702 Oensingen","Listing ID: 10947901","2023-10-16","Non",""
"1698789178-19","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2006-occasion-10976110","AUDI A3 Sportback 2.0 FSI Ambiente","Noch mit Mfk bis mindestens Ende März-2025Automatische Getriebe ist nicht gut","CHF 1'700.–","04.2006","Limousine","167'000 km","Essence","Automatique","150 PS (110 kW)","Traction avant","8.2 l/100 km","Non","03.01.2023","Non","Non","","8134 Adliswil","Listing ID: 10976110","2023-10-26","Non","Das Auto steht in der Stadt Langnau am Albis (8135)

Mechanische  das Auto ist Fahrbar, aber der automatische Getriebe ist nicht 100% gut.

Der Interieurs ist gut 

Die Carrassorie ist Schön, ausser paar kleine Gebraucht spüren 

Stahlfelgen mit Winterreifen"
"1698789202-20","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2006-occasion-9963236","AUDI A3 Sportback 2.0 Turbo FSI Ambiente quattro","","CHF 1'800.–","07.2006","Limousine","220'484 km","Essence","Boîte manuelle","200 PS (147 kW)","4 roues motrices","9 l/100 km","Non","22.04.2019","Non","Non","","Bielstrasse 49, 3900 Gamsen","Listing ID: 9963236","2022-11-14","Non","Anlasser Problem
Preis nicht verhandelbar"
"1698789226-21","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2005-occasion-10735072","AUDI A3 2.0 FSI Ambition","Roule bien, moteur tremble au démarrage, expertise à prévoir, B04.","CHF 1'900.–","09.2005","Limousine","222'000 km","Essence","Automatique","150 PS (110 kW)","Traction avant","8.2 l/100 km","Non","17.06.2019","Non","Non","","Rue de Plaisance 10, 1227 Carouge","Listing ID: 10735072","2023-07-29","Non",""
"1698789436-22","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2000-occasion-10982683","AUDI A3 1.8 Ambition","ABS Bremsen nicht gut","CHF 1'900.–","11.2000","Limousine","144'900 km","Essence","Boîte manuelle","125 PS (92 kW)","Traction avant","8 l/100 km","Non","10.10.2019","Non","Non","","Zugerstrasse 40, 6403 Küssnacht am Rigi","Listing ID: 10982683","2023-10-30","Non","Sehr Guter service , Verkäufer sehr Ehrlich. Hat mir ein Auto abgekauft, ist ..."
"1698789460-23","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2006-occasion-9781172","AUDI A3 Sportback 1.6 FSI Attraction","","CHF 1'999.–","12.2006","Limousine","270'000 km","Essence","Boîte manuelle","115 PS (85 kW)","Traction avant","6.8 l/100 km","Non","","Non","Non","","Hauptstrasse 13, 8583 Sulgen","Listing ID: 9781172","2022-11-14","Non",""
"1698789484-24","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2006-occasion-10196764","AUDI A3 Sportback 2.0 Turbo FSI Attraction","","CHF 1'999.–","02.2006","Limousine","156'177 km","Essence","Boîte manuelle","200 PS (147 kW)","Traction avant","7.9 l/100 km","Non","24.08.2020","Non","Non","","Bielstrasse 49, 3900 Gamsen","Listing ID: 10196764","2023-01-24","Non","Getriebe schaltet nicht 
Fix preis"
"1698789677-25","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2003-occasion-10982079","AUDI A3 1.8 T Attraction","","CHF 1'999.–","02.2003","Limousine","200'000 km","Essence","Automatique","180 PS (132 kW)","Traction avant","9.1 l/100 km","Non","31.01.2023","Non","Non","","Schermenweg 179, 3072 Ostermundigen","Listing ID: 10982079","2023-10-29","Non","Ab MFK 1-2023"
"1698789701-26","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2000-occasion-10786083","AUDI A3 1.8 T Ambiente","VERGLEICHEN LOHNT SICH!!! CH FZ ab MFK & Service, Klima...Motorlampe leuchtet!","CHF 1'999.–","10.2000","Limousine","183'000 km","Essence","Boîte manuelle","150 PS (110 kW)","Traction avant","8 l/100 km","Oui","28.12.2022","Non","Non","","Passwangstrasse 49, 4226 Breitenbach SO","Listing ID: 10786083","2023-08-21","Non","VERGLEICHEN LOHNT SICH!!! CH FZ ab MFK & Service, Klima...Motorlampe leuchtet!"
"1698789725-27","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2004-occasion-10684237","AUDI A3 2.0 FSI Ambiente","","CHF 2'100.–","03.2004","Limousine","273'648 km","Essence","Automatique","150 PS (110 kW)","Traction avant","7.9 l/100 km","Non","09.08.2021","Non","Non","","Aeussere Luzernerstrasse 10, 4665 Oftringen  Kanton Aargau","Listing ID: 10684237","2023-07-08","Non","Sehr Nett und gute Preise"
"1698789878-28","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-1999-occasion-8943564","AUDI A3 1.8 T Ambiente","Wenn frisch ab Mfk zusätzlich chf 600/1-2 Wochen lieferfrist!","CHF 2'200.–","11.1999","Limousine","261'000 km","Essence","Boîte manuelle","150 PS (110 kW)","Traction avant","7.9 l/100 km","Oui","27.10.2020","Non","Non","","Gummertliweg 6, 4702 Oensingen","Listing ID: 8943564","2022-11-14","Non",""
"1698789902-29","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2006-occasion-10947015","AUDI A3 Sportback 2.0 Turbo FSI Ambition S-tronic","Abs lampe leuchtet , kunden auto bitte direkt anrufen 076 329 82 86","CHF 2'200.–","04.2006","Limousine","370'000 km","Essence","Boîte manuelle automatisée","200 PS (147 kW)","Traction avant","7.9 l/100 km","Non","14.02.2022","Non","Non","","Im Werd 6, 8952 Schlieren ch","Listing ID: 10947015","2023-10-16","Non","Abs lampe leuchtet kunden auto bitte direkt anrufen
076 329 82 86"
"1698790023-30","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2002-occasion-10909211","AUDI A3 1.9 TDI PD 130PS","**Automat**Klima**Diesel**","CHF 2'290.–","11.2002","Limousine","300'000 km","Diesel","Automatique","131 PS (96 kW)","Traction avant","-","Non","18.11.2020","Non","Non","","Grendelweg 5, 4314 Zeiningen","Listing ID: 10909211","2023-10-03","Non","Zu verkaufen. Audi A3 8L 1.9TDI PD . Jahrgang 11.2002 . 300700km . Letzte MFK 11.2020 . 
5 Plätzer . Aussenfarbe schwarz . Sitze Alcantara . 1896ccm Pumpe Düse Dieselmotor mit 130 PS . Automat . Wandlerautomat . Klima Klimaanlage . Audi Radio mit Bluetooth . Bose Soundanlage . 

Kann gegen Absprache frisch vorgeführt werden.  

Das Auto kann gerne besichtigt und Probe gefahren werden in 4314 Zeiningen.

Bei Fragen gerne erreichbar unter 079 650 23 99"
"1698790047-31","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2005-occasion-10855650","AUDI A3 Sportback 2.0 FSI Ambition","Bon état","CHF 2'300.–","05.2005","Limousine","197'000 km","Essence","Automatique","150 PS (110 kW)","Traction avant","8.2 l/100 km","Non","","Non","Non","","Zone industrielle C 69, 1844 Villeneuve","Listing ID: 10855650","2023-09-14","Non","Bon état"
"1698790071-32","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-1998-occasion-10935410","AUDI A3 1.8 T Ambiente","Frisch ab MFK","CHF 2'300.–","05.1998","Limousine","286'000 km","Essence","Boîte manuelle","150 PS (110 kW)","Traction avant","7.9 l/100 km","Oui","11.10.2023","Non","Non","","Luzernerstrasse 55, 5630 Muri AG","Listing ID: 10935410","2023-10-11","Non","Frisch ab MFK.Frisch ab Gross Service,(neue Bremse vor kurzem,neue Handbremsseil,Oelservice,usw.)Alu Felgen,Klima,ABS,Servo,ZV usw."
"1698790095-33","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2005-occasion-10889429","AUDI A3 Sportback 1.6 FSI Ambiente","","CHF 2'499.–","01.2005","Limousine","218'000 km","Essence","Boîte manuelle","115 PS (85 kW)","Traction avant","6.7 l/100 km","Non","","Non","Non","","Westring 9, 5502 Hunzenschwil","Listing ID: 10889429","2023-09-26","Non",""
"1698790222-34","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2007-occasion-10916819","AUDI A3 Sportback 2.0 Turbo FSI Ambiente quattro","","CHF 2'500.–","04.2007","Limousine","216'834 km","Essence","Boîte manuelle","200 PS (147 kW)","4 roues motrices","9 l/100 km","Non","05.12.2019","Non","Non","","Bernstrasse 55, 4852 Rothrist","Listing ID: 10916819","2023-10-05","Non",""
"1698790247-35","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-1996-occasion-10934957","AUDI A3 1.8 Ambition","Roule bien, expertisée 10/10/2023.","CHF 2'500.–","12.1996","Limousine","177'000 km","Essence","Boîte manuelle","125 PS (92 kW)","Traction avant","8.3 l/100 km","Oui","10.10.2023","Non","Non","","Rue de Plaisance 10, 1227 Carouge","Listing ID: 10934957","2023-10-11","Non","Roule bien, expertisée 10/10/2023."
"1698790271-36","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-coupe-1998-occasion-10975572","AUDI A3 1.6 Ambition","8-fach bereift, inkl. Wintercheck Anhängerkupplung, Fahrzeug war jährlich im Garagenservice Kratzer auf allen vier Seiten!","CHF 2'500.–","10.1998","Coupé","175'000 km","Essence","Boîte manuelle","101 PS (74 kW)","Traction avant","7.8 l/100 km","Non","14.04.2023","Non","Non","","Wallrütistrasse 52, 8404 Winterthur","Listing ID: 10975572","2023-10-26","CHF 33'410",""
"1698790296-37","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2005-occasion-10765583","AUDI A3 2.0 FSI Ambiente","MFK 01,23 Auto ist in einem guten Zustand, Läuft Einwandfrei, 3Türe Limousine, Benzin, Klima.","CHF 2'600.–","08.2005","Limousine","296'000 km","Essence","Boîte manuelle","150 PS (110 kW)","Traction avant","7.6 l/100 km","Oui","19.01.2023","Non","Non","","Grindel 33, 6017 Ruswil","Listing ID: 10765583","2023-08-12","Non","La voiture MFK 01.23 est en bon état, roule parfaitement, berline 3 portes, essence, climatisation."
"1698790320-38","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2006-occasion-10931163","AUDI A3 2.0T FSI Ambition","","CHF 2'600.–","07.2006","Limousine","304'078 km","Essence","Boîte manuelle automatisée","200 PS (147 kW)","Traction avant","-","Oui","","Non","Non","","Hauptstrasse 9, 5212 Hausen bei Brugg","Listing ID: 10931163","2023-10-10","Non","ab Platz, Export, nur für den fachkundigen Käufer, Radlager def."
"1698790344-39","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2006-occasion-10941941","AUDI A3 Sportback 2.0 FSI Ambiente","Besichtigung: Steigstrasse 26 8406 Winterthur.Parkhaus erste Stock.Kontakt: 0765165747","CHF 2'690.–","04.2006","Limousine","220'000 km","Essence","Boîte manuelle","150 PS (110 kW)","Traction avant","7.6 l/100 km","Non","31.05.2021","Non","Non","","Steigstrasse 26, 8406 Winterthur","Listing ID: 10941941","2023-10-14","Non","Klima, 8fach bereift."
"1698790841-40","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2008-occasion-10854361","AUDI A3 Sportback 1.8 Turbo FSI Ambiente","","CHF 2'690.–","05.2009","Limousine","250'000 km","Essence","Boîte manuelle","160 PS (118 kW)","Traction avant","7.2 l/100 km","Oui","13.03.2022","Non","Non","","Route de Satigny 58, 1242 Satigny","Listing ID: 10854361","2023-09-13","Non",""
"1698790872-41","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2008-occasion-10969813","AUDI A3 Sportback 1.8 Turbo FSI Ambiente","","CHF 2'700.–","02.2008","Limousine","230'000 km","Essence","Boîte manuelle","160 PS (118 kW)","Traction avant","7.4 l/100 km","Non","","Non","Non","","Route de Reculan 3, 1024 Ecublens","Listing ID: 10969813","2023-10-24","Non","Acheteur très sympathique et arrangeant, achat cash sans blabla au juste prix. ..."
"1698790896-42","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2006-occasion-10729689","AUDI A3 Sportback 2.0 Turbo FSI Ambiente","","CHF 2'700.–","11.2006","Limousine","237'941 km","Essence","Boîte manuelle","200 PS (147 kW)","Traction avant","7.9 l/100 km","Non","04.03.2021","Non","Non","","Am Sagenbach 20, 6033 Buchrain","Listing ID: 10729689","2023-07-27","Non",""
"1698790919-43","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2003-occasion-10684098","AUDI A3 2.0 TDI Ambiente","Frisch ab MFK","CHF 2'700.–","08.2003","Limousine","306'000 km","Diesel","Boîte manuelle","140 PS (103 kW)","Traction avant","5.7 l/100 km","Oui","12.05.2023","Non","Non","","Ifangstrasse 12, 8603 Schwerzenbach","Listing ID: 10684098","2023-07-08","Non","Frisch ab MFK
Frischer Service"
"1698791010-44","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2008-occasion-10273805","AUDI A3 Sportback 1.8 TFSI Attraction S-tronic","Aromat Problem","CHF 2'900.–","05.2008","Limousine","184'000 km","Essence","Boîte manuelle automatisée","160 PS (118 kW)","Traction avant","6.6 l/100 km","Non","26.05.2008","Non","Non","","Hellmühlestrasse 11, 6344 Meierskappel","Listing ID: 10273805","2023-02-20","Non","BEI FRAGEN NUR TELEFONISCH ERREICHBAR  079 362 26 70 
07:30-12:00  13:30-18:00 DANKE"
