web-scraper-order,web-scraper-start-url,page,annonce-link,annonce-link-href,title,subtitle,price,date,body-type,kilometers,fuel-type,transmission,power,drivetrain,consumption,expertise,expertise-date,accident,warranty,warranty-details,location,listing-id,description-text,created-date,new-price
1697642670-11,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-break-2008-occasion-10840763,VW Golf Variant 1.9 TDI Comfortline DSG,***Motor startet nicht***,CHF 750.–,01.2008,Break,260'000 km,Diesel,Boîte manuelle automatisée,105 PS (77 kW),Traction avant,5.3 l/100 km,Non,,Non,Non,,"Bösch 63, 6331 Hünenberg",Listing ID: 10840763,"Keine technische Prüfung (Werkstatttest) vorgenommen
Diverse Schäden an Karosserie/Lack.
Fahrzeug ist ab Platz, ohne Garantie und Aufbereitung
Batterie fehlt
Startet nicht, Anlasser oder Motor defekt
Fahrzeugausweis ist nicht vorhanden
Fahrzeug ist nur für Teile gedacht.
Heckstossstange und Rücklichter nicht vorhanden. Wurden für einen anderen Golf demontiert.
(KEIN UNFALL)
Abholung innert 3 Tagen",2023-09-08,Non
1697642685-12,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-break-2003-occasion-10755628,VW Golf Variant 2.0,Fahrzeug läuft einwandfrei / Automat / Seitenschaden Siehe Bilder,CHF 800.–,06.2003,Break,237'000 km,Essence,Automatique,115 PS (85 kW),Traction avant,9.3 l/100 km,Non,09.10.2019,Non,Non,,"Unterstrasse, 8734 Ermenswil",Listing ID: 10755628,"Vielen Dank für Ihr Interesse an einem unserer Fahrzeuge. 
Für eine Besichtigung Vorort bitte ein Termin vereinbaren. 

Kein Zustandsrapport vorhanden, Fahrzeug wird ab Platz und ohne Garantie verkauft.

Trotz unserer Sorgfalt sind Inserationsfehler nicht auszuschliessen keine Gewähr für Ausstattungsdetails, Irrtümer und Zwischenverkauf vorbehalten.",2023-08-09,Non
1697642698-13,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-limousine-1999-occasion-10850710,VW Golf 1.8 Comfortline,Roule bien,CHF 800.–,01.1999,Limousine,200'000 km,Essence,Automatique,125 PS (92 kW),Traction avant,9.3 l/100 km,Non,,Non,Non,,"Zone industrielle C 69, 1844 Villeneuve",Listing ID: 10850710,Roule bien,2023-09-12,Non
1697642711-14,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-limousine-1999-occasion-10864072,VW Golf 1.8 Comfortline 4Motion,"Fahrzeug mit Klimaanlage, ist sehr gut fahrbar, fix preis.",CHF 800.–,11.1999,Limousine,268'000 km,Essence,Boîte manuelle,125 PS (92 kW),4 roues motrices,9.1 l/100 km,Non,17.03.2020,Non,Non,,"Grindel 33, 6017 Ruswil",Listing ID: 10864072,"Mechanisch ist es sehr gut, Ist sehr gut fahrbar, Optisch bitte siehe Bilder, Serviceheft ist vorhanden, fix preis.",2023-09-17,Non
1697642724-15,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-break-2000-occasion-10874409,VW Golf Variant 1.8 20V Comfortline 4Motion,Fahrzeug mit Klimaanlage.,CHF 800.–,03.2000,Break,250'000 km,Essence,Boîte manuelle,125 PS (92 kW),4 roues motrices,9.1 l/100 km,Non,20.07.2020,Non,Non,,"Grindel 33, 6017 Ruswil",Listing ID: 10874409,"Mechanisch ist es sehr gut, Optisch bitte siehe Bilder, Serviceheft ist vorhanden, innen muss gereinigt werden.",2023-09-20,Non
1697642737-16,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-limousine-2000-occasion-10904181,VW Golf 1.8 T GTI,,CHF 800.–,11.2000,Limousine,191'350 km,Essence,Boîte manuelle,150 PS (110 kW),Traction avant,7.8 l/100 km,Non,,Non,Non,,"Grenzstrasse 80, 8240 Thayngen",Listing ID: 10904181,,2023-09-30,Non
1697642750-17,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-limousine-2000-occasion-10022499,VW Golf 1.6 Comfortline,,CHF 900.–,08.2000,Limousine,295'000 km,Essence,Boîte manuelle,100 PS (74 kW),Traction avant,7.9 l/100 km,Non,,Non,Non,,3302 Moosseedorf,Listing ID: 10022499,,2022-11-15,Non
1697642763-18,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-limousine-2000-occasion-10362709,VW Golf 1.8 Trendline 4Motion,,CHF 900.–,01.2000,Limousine,189'510 km,Essence,Boîte manuelle,125 PS (92 kW),4 roues motrices,9.1 l/100 km,Non,24.03.2021,Non,Non,,"Bielstrasse 49, 3900 Gamsen",Listing ID: 10362709,,2023-03-20,Non
1697642776-19,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-limousine-2002-occasion-10686652,VW Golf 1.6 16V,,CHF 900.–,07.2002,Limousine,193'623 km,Essence,Boîte manuelle,105 PS (77 kW),Traction avant,7.1 l/100 km,Non,14.12.2021,Non,Non,,"Route du P.A.A. 21, 1772 Grolley",Listing ID: 10686652,,2023-07-10,Non
1697642789-20,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-limousine-2000-occasion-10755105,VW Golf 1.6 Comfortline,Schaltgetriebe Motor Getriebe in ordung Fahrzeug muss vorgeführt werdenFix Preis,CHF 900.–,02.2000,Limousine,221'700 km,Essence,Automatique,100 PS (74 kW),Traction avant,8.8 l/100 km,Non,17.01.2020,Non,Non,,"Guschastrasse 88, 9475 Sevelen",Listing ID: 10755105,Schnelle Verhandlung und Ehrlicher Verkäufer! Danke immer Wieder,2023-08-08,Non
1697642802-21,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-limousine-2001-occasion-10863518,VW Golf 1.8 T GTI,,CHF 900.–,10.2001,Limousine,400'000 km,Essence,Boîte manuelle,150 PS (110 kW),Traction avant,8 l/100 km,Non,16.01.2021,Non,Non,,"Überland Strasse 109 neh/ Golf Club/ bie Agir, 8951 Fahrweid",Listing ID: 10863518,War ok,2023-09-16,Non
1697642815-22,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-limousine-2005-occasion-10869725,VW Golf 2.0 FSI Sportline,,CHF 900.–,04.2005,Limousine,198'191 km,Essence,Boîte manuelle,150 PS (110 kW),Traction avant,7.8 l/100 km,Non,16.03.2020,Non,Non,,"Bielstrasse 49, 3900 Gamsen",Listing ID: 10869725,,2023-09-19,Non
1697642829-23,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-break-2001-occasion-10943933,VW Golf Variant 1.9 TDI PD Comfortline,,CHF 900.–,08.2002,Break,280'000 km,Diesel,Boîte manuelle,115 PS (85 kW),Traction avant,5.4 l/100 km,Oui,05.04.2022,Non,Non,,"Route De Pisciculture 35, 1700 Fribourg",Listing ID: 10943933,Démarre et roulé! problème turbo! Courroie de distribution changer à 250000km prix fixe,2023-10-14,Non
1697642842-24,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-limousine-1997-occasion-10819821,VW Golf 1600 Swiss Line,,CHF 990.–,03.1997,Limousine,180'000 km,Essence,Boîte manuelle,75 PS (55 kW),Traction avant,7.4 l/100 km,Oui,01.09.2021,Non,Non,,"Route de Satigny 58, 1242 Satigny",Listing ID: 10819821,,2023-09-01,Non
1697642855-25,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-limousine-2000-occasion-9008893,VW Golf 1.6 16V Comfortline,Alternator Defekt Manuel Getriebe Klimaanlage Alufelgen Motor und Getriebe  I.o ideal für Export,CHF 999.–,08.2000,Limousine,208'654 km,Essence,Boîte manuelle,105 PS (77 kW),Traction avant,7.1 l/100 km,Non,20.09.2018,Non,Non,,"industrie str 6, 8604 Volketswil",Listing ID: 9008893,,2022-11-14,Non
1697642868-26,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-break-2001-occasion-10412460,VW Golf Variant 1.6 Comfortline Automatic,,CHF 999.–,06.2001,Break,189'866 km,Essence,Automatique,100 PS (74 kW),Traction avant,8.3 l/100 km,Non,24.01.2020,Non,Non,,"Bielstrasse 49, 3900 Gamsen",Listing ID: 10412460,,2023-04-05,Non
1697642883-27,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-limousine-1999-occasion-10348900,VW Golf 1.8 Comfortline 4Motion,,CHF 999.–,08.1999,Limousine,178'240 km,Essence,Boîte manuelle,125 PS (92 kW),4 roues motrices,9.1 l/100 km,Non,20.12.2019,Non,Non,,"Dammweg 23, 5745 Safenwil",Listing ID: 10348900,"Zu verkaufen

VW Golf 4 1,8l 20V 4X4 125PS (Eintauschfahrzeug)
jg.16.08.1999  (Modelljahr 2000)
Km. 178`240
MFK 20.12.2019

Das Auto hat:

- 5-Gang-Schaltgetriebe für Allrad
- Allradantrieb
- Elektronische Differenzialsperre (EDS)
- Servolenkung
- Climatronic mit Stauluftregelung
- Lenksäule,axial und vertikal einstellbar
- Aussenspiegel rechts, konvex
- Außenspiegel links, asphärisch
- Außenspiegelgehäuse und Heckklappengriff in Wagenfarbe
- Außenspiegel elektrisch einstell-/beheizbar
- Mittelarmlehne vorn
- Airbag für Fahrer und Beifahrer
- Seitenairbag vorn
- Lendenwirbelstütze, manuell einstellbar in Vordersitzlehnen
- Wegfahrsperre elektronisch, mit Diebstahlalarmanlage
- Platzsparendes Notrad,Radial-Bauweise (5-Loch)
- Kopfstützen für Vordersitze höhen- und neigungseinstellbar
- Höheneinstellung,manuell,für Vordersitze
- Sitzbezüge in Velour

Das Auto hat an der Schwelle Rost und Kotflügel
Der Auspuff hinten muss Geschweisst werden (das Rohr das zum Endtopf geht)
Die Reifen sind alt und nicht mehr gut
Service sollte gemacht werden
Nur 1 Schlüssel vorhanden

Weitere mängel möglich! Verkauf ab Platz ohne Garantie!
Service Buch ist vorhanden
- Rücksitzbank-/lehne geteilt, umlegbar mit Mittelarmlehne
- Zentralverriegelung mit Funkfernbedienung Innenbetätigung und Safesicherung
- Fensterheber mit Komfortschaltung und Abschaltsicherung, elektrisch
- Stahlräder mit M+S Reifen sind jedoch nicht mehr viel und alt",2023-03-15,Non
1697642896-28,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-cabriolet-1994-occasion-10739620,VW GOLF Cabrio,,CHF 999.–,07.1994,Cabriolet,231'678 km,Essence,Automatique,116 PS (85 kW),-,-,Non,08.02.2019,Non,Non,,"Bielstrasse 49, 3900 Gamsen",Listing ID: 10739620,,2023-08-02,Non
1697642909-29,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-limousine-2000-occasion-10910565,VW Golf 1.6 Comfortline,,CHF 999.–,03.2000,Limousine,259'000 km,Essence,Automatique,100 PS (74 kW),Traction avant,8.8 l/100 km,Non,,Non,Non,,"Schermenweg 179, 3072 Ostermundigen",Listing ID: 10910565,,2023-10-03,Non
1697642924-30,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-break-2001-occasion-10891146,VW Golf Variant 2.0 Comfortline,*** Ab Platz Angebot *** Rest - MFK *** Automat *** Klima ***,CHF 999.–,01.2001,Break,318'885 km,Essence,Automatique,115 PS (85 kW),Traction avant,9.3 l/100 km,Oui,31.01.2022,Non,Non,,"St. Gallerstrasse 188, 8404 Winterthur",Listing ID: 10891146,"Fahrzeug hat noch Rest-MFK bis mind.  Februar 2024 gültig 

 - Motorlampe brennt 

- Automat
- Klimatisierungsautomatik
- Sehr gute Winterreifen ""Barum
- Dachträger - 75 KG Dachlast


Eintausch Willkommen
Kauf Finanzierung möglich Kredit / Leasing ohne Anzahlung
Gerne erstelle ich Ihnen eine Offerte
Besichtigung & Abholung immer Telefonisch vereinbaren",2023-09-26,Non
1697642937-31,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-limousine-2000-occasion-9872570,VW Golf 1.6 Celebration,,CHF 1'000.–,03.2000,Limousine,180'546 km,Essence,Automatique,100 PS (74 kW),Traction avant,8.8 l/100 km,Non,04.11.2019,Non,Non,,"Bielstrasse 49, 3900 Gamsen",Listing ID: 9872570,,2022-11-14,Non
1697642950-32,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-limousine-2001-occasion-10223656,VW Golf 1.6 16V Trendline,,CHF 1'000.–,04.2001,Limousine,171'541 km,Essence,Boîte manuelle,105 PS (77 kW),Traction avant,7.1 l/100 km,Non,30.10.2020,Non,Non,,"Bielstrasse 49, 3900 Gamsen",Listing ID: 10223656,"Frontscheibe gerissen 
Fix preis",2023-02-02,Non
1697642965-33,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-limousine-2000-occasion-10798239,VW Golf 2.0 4Motion,,CHF 1'000.–,12.2000,Limousine,292'000 km,Essence,Boîte manuelle,115 PS (85 kW),4 roues motrices,8.9 l/100 km,Non,05.05.2020,Non,Non,,8134 Adliswil,Listing ID: 10798239,"Das Auto steht in der Stadt Langnau am Albis (8135)

Mechanische ist im gut Zustand, lückenlos Serviceheft 

Der Interieurs ist ok 

Die Carrassorie hat paar Beule besonders vorne rechtes und Rost am Schwellen links und rechtes 

Stahlfelgen mit schlecht reifen",2023-08-24,Non
1697642979-34,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-limousine-2003-occasion-10844594,VW Golf 1.9 TDI PD Comfortline,"- Le moteur fonctionne, mais un injecteur est à remplacer !",CHF 1'000.–,05.2003,Limousine,215'000 km,Diesel,Boîte manuelle,130 PS (96 kW),Traction avant,5.4 l/100 km,Non,29.04.2019,Non,Non,,"rue Guillaume-Triponez 48, 2336 Les Bois",Listing ID: 10844594,Personne pas serieuse je vous déconseille d'acheter et de reparer votre véhicule ...,2023-09-11,Non
1697642992-35,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-break-2008-occasion-10128559,VW GOLF Variant 2.0 TFSI Highline,La voiture ne démarre pas.,CHF 1'100.–,06.2008,Break,290'000 km,Essence,Boîte manuelle,-,Traction avant,-,Non,,Non,Non,,"ZI Reuteut 49, 1868 Collombey",Listing ID: 10128559,"Même en n'ayant pas acheté de voiture, le vendeur est très professionnel et de ...",2022-12-26,Non
1697643005-36,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-limousine-2000-occasion-10889076,VW Golf 1.4 16V,,CHF 1'100.–,10.2000,Limousine,245'639 km,Essence,Boîte manuelle,75 PS (55 kW),Traction avant,6.8 l/100 km,Non,16.06.2020,Non,Non,,"Luzernstrasse 19, 6206 Neuenkirch",Listing ID: 10889076,,2023-09-26,Non
1697643018-37,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-limousine-1998-occasion-10953436,VW Golf 1.6 Comfortline,,CHF 1'200.–,06.1998,Limousine,196'000 km,Essence,Automatique,100 PS (74 kW),Traction avant,8.6 l/100 km,Non,,Non,Non,,"Chemin Champs Prévost 6, 1214 Vernier",Listing ID: 10953436,"Roule très bien 
Automatique 
Ideal pour l'export 
Dernière expertise 2020",2023-10-18,Non
1697643031-38,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-limousine-2000-occasion-9950969,VW Golf 1.8 Trendline 4Motion,,CHF 1'200.–,12.2000,Limousine,250'968 km,Essence,Boîte manuelle,125 PS (92 kW),4 roues motrices,9.1 l/100 km,Non,12.05.2020,Non,Non,,"Bielstrasse 49, 3900 Gamsen",Listing ID: 9950969,Fix preis,2022-11-14,Non
1697643044-39,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-limousine-1986-occasion-10214008,VW Golf 1600 C,,CHF 1'200.–,09.1986,Limousine,183'000 km,Essence,Automatique,75 PS (55 kW),Traction avant,-,Oui,30.03.2022,Non,Non,,"Rue de-Turrettini 2, 1242 Satigny",Listing ID: 10214008,,2023-01-30,Non
1697643058-40,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-limousine-1998-occasion-10593403,VW Golf 1.8 Comfortline 4Motion,"Ab Platz, letzte MFK Juli 2020",CHF 1'200.–,11.1998,Limousine,187'000 km,Essence,Boîte manuelle,125 PS (92 kW),4 roues motrices,9.1 l/100 km,Non,14.07.2020,Non,Non,,"Püntstrasse 27, 8543 Gundetswil",Listing ID: 10593403,"Ab Platz
Letzte MFK Juli 2020
Benziner
Handschaltung
Klima
CD Player
4x4 Allrad",2023-06-08,Non
1697643071-41,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-limousine-1999-occasion-10590892,VW Golf 1.8 Comfortline 4Motion,,CHF 1'200.–,04.1999,Limousine,168'500 km,Essence,Boîte manuelle,125 PS (92 kW),4 roues motrices,9.1 l/100 km,Non,03.02.2020,Non,Non,,"nordstr.1, 7310 Bad Ragaz",Listing ID: 10590892,Viele Autos. Freundlich und Hilfsbereit Danke,2023-06-07,Non
1697643084-42,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-cabriolet-1994-occasion-10819591,VW Golf Cabriolet 1800,,CHF 1'200.–,03.1994,Cabriolet,184'900 km,Essence,Automatique,90 PS (66 kW),Traction avant,8.2 l/100 km,Non,,Non,Non,,"Wiesenstrasse 21, 5412 Gebenstorf",Listing ID: 10819591,Auto Lauft gut französischen Papiere,2023-09-01,Non
1697643097-43,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-limousine-2001-occasion-10816497,VW Golf 1.4 Comfortline,Gepflegtes Auto..!! ZR+ WP ersetzt bei 164'000 km..!!,CHF 1'200.–,07.2001,Limousine,208'350 km,Essence,Boîte manuelle,75 PS (55 kW),Traction avant,6.8 l/100 km,Non,28.05.2020,Non,Non,,3302 Moosseedorf,Listing ID: 10816497,,2023-08-31,Non
1697643110-44,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-limousine-2007-occasion-10948233,VW Golf 1.6 FSI Comfortline,,CHF 1'200.–,02.2007,Limousine,247'000 km,Essence,Boîte manuelle,115 PS (85 kW),Traction avant,6.4 l/100 km,Non,11.02.2020,Non,Non,,"via cantonale 80, 6516 Cugnasco",Listing ID: 10948233,Funziona bene per export,2023-10-16,Non
1697643123-45,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-limousine-2001-occasion-10943868,VW Golf 1.8 T GTI,"das Auto fährt sehr Gut hat kein Mekanech oder elektrische kein Problem !!, hat gebrauch spur , nicht sauber, Ab Platzt",CHF 1'200.–,06.2001,Limousine,256'000 km,Essence,Boîte manuelle,150 PS (110 kW),Traction avant,7.8 l/100 km,Non,07.01.2021,Non,Non,,"Choindez 5, 2830 Courrendlin",Listing ID: 10943868,"das Auto fährt sehr Gut hat kein Mekanech oder elektrische kein Problem !!, hat gebrauch spur , nicht sauber, Ab Platzt",2023-10-14,Non
